ID, Nacionalidad, Tipo sonido, Cantidad jugadores, Capacidad fichas, Salon, Juego 
359,Ireland,1,4,334,Salon VR,Tron
411,China,1,2,429,Salon 3,Tron
434,Mauritania,1,5,401,Salon Carreras,Tron
438,Pakistan,1,2,194,Salon 4,Tron
481,Indonesia,1,5,488,Salon Retro,Tron
5,China,1,5,443,Salon 3,Tetris
44,Russia,1,5,151,Salon Carreras,Tetris
57,Madagascar,1,3,412,Salon 5,Tetris
59,Philippines,1,4,303,Salon Carreras,Tetris
81,Russia,1,3,276,Salon Retro,Tetris
97,Portugal,1,2,157,Salon 2,Tetris
151,Thailand,1,4,109,Salon 5,Tetris
164,China,1,4,372,Salon 3,Tetris
173,Ukraine,1,3,468,Salon 4,Tetris
180,Haiti,1,3,366,Salon Retro,Tetris
186,Russia,1,3,392,Salon VR,Tetris
220,China,1,3,276,Salon 5,Tetris
230,Serbia,1,3,299,Salon 2,Tetris
308,Canada,1,2,185,Salon 2,Tetris
321,Indonesia,1,4,404,Salon 3,Tetris
370,Kosovo,1,4,331,Salon 4,Tetris
408,Russia,1,4,201,Salon Retro,Tetris
417,China,1,3,117,Salon 5,Tetris
430,Brazil,1,4,442,Salon 2,Tetris
455,China,1,2,384,Salon 4,Tetris
461,Indonesia,1,2,148,Salon 6,Tetris
462,Yemen,1,5,372,Salon 4,Tetris
464,China,1,4,232,Salon 2021,Tetris
465,Uganda,1,3,329,Salon 1,Tetris
469,Iran,1,5,466,Salon Retro,Tetris
483,Afghanistan,1,4,331,Salon 6,Tetris
495,Brazil,1,5,150,Salon 3,Tetris
35,Indonesia,1,4,207,Salon Retro,Street Fighter II
91,Indonesia,1,4,433,Salon Retro,Street Fighter II
100,China,1,5,213,Salon 3,Street Fighter II
141,Guatemala,1,3,396,Salon 2,Street Fighter II
145,Russia,1,5,354,Salon 3,Street Fighter II
172,China,1,4,416,Salon 2,Street Fighter II
176,Canada,1,3,401,Salon Carreras,Street Fighter II
260,Slovenia,1,3,494,Salon Carreras,Street Fighter II
264,Argentina,1,2,289,Salon 2021,Street Fighter II
295,Dominican Republic,1,5,343,Salon 5,Street Fighter II
317,Indonesia,1,3,236,Salon 2021,Street Fighter II
332,Russia,1,2,255,Salon 3,Street Fighter II
338,Brazil,1,3,262,Salon VR,Street Fighter II
352,Ukraine,1,2,259,Salon Retro,Street Fighter II
375,Brazil,1,2,102,Salon 3,Street Fighter II
386,Iran,1,4,120,Salon 6,Street Fighter II
387,China,1,2,401,Salon 3,Street Fighter II
428,Indonesia,1,5,198,Salon 2,Street Fighter II
431,China,1,5,257,Salon Retro,Street Fighter II
476,China,1,2,130,Salon 3,Street Fighter II
46,China,1,4,456,Salon 5,Star Wars
84,Honduras,1,5,389,Salon 3,Star Wars
92,Sweden,1,2,360,Salon 3,Star Wars
98,Indonesia,1,3,479,Salon 2,Star Wars
109,Bulgaria,1,3,284,Salon 6,Star Wars
121,New Caledonia,1,2,293,Salon Retro,Star Wars
127,Peru,1,3,411,Salon VR,Star Wars
149,Philippines,1,2,150,Salon 1,Star Wars
150,Philippines,1,3,267,Salon Carreras,Star Wars
209,Luxembourg,1,2,212,Salon 6,Star Wars
265,China,1,3,169,Salon 1,Star Wars
272,China,1,4,241,Salon Carreras,Star Wars
277,Peru,1,5,490,Salon 5,Star Wars
301,Guatemala,1,2,463,Salon 2021,Star Wars
330,Philippines,1,4,312,Salon 2021,Star Wars
374,Saudi Arabia,1,5,226,Salon 4,Star Wars
388,Philippines,1,2,112,Salon 2,Star Wars
437,China,1,3,313,Salon 1,Star Wars
471,Philippines,1,4,478,Salon VR,Star Wars
480,Indonesia,1,3,226,Salon 6,Star Wars
489,Azerbaijan,1,2,473,Salon 2021,Star Wars
8,Japan,1,2,396,Salon 1,Space Invaders
11,China,1,4,278,Salon Carreras,Space Invaders
23,Belarus,1,2,415,Salon 3,Space Invaders
52,Paraguay,1,2,107,Salon 5,Space Invaders
105,Philippines,1,3,213,Salon Carreras,Space Invaders
112,China,1,5,444,Salon Retro,Space Invaders
189,Ukraine,1,4,133,Salon 2021,Space Invaders
235,China,1,4,336,Salon Retro,Space Invaders
252,China,1,5,408,Salon 4,Space Invaders
268,Brazil,1,2,101,Salon 2021,Space Invaders
348,South Africa,1,3,478,Salon VR,Space Invaders
392,Peru,1,5,120,Salon 3,Space Invaders
400,China,1,2,276,Salon 2,Space Invaders
424,Russia,1,5,422,Salon 1,Space Invaders
433,China,1,5,116,Salon Retro,Space Invaders
450,Libya,1,2,441,Salon 3,Space Invaders
466,Czech Republic,1,5,132,Salon 1,Space Invaders
468,China,1,5,370,Salon 6,Space Invaders
475,Philippines,1,2,269,Salon 4,Space Invaders
20,Brazil,1,3,343,Salon 3,Pong
37,Indonesia,1,5,239,Salon Retro,Pong
40,Greece,1,5,223,Salon 4,Pong
41,Ireland,1,4,420,Salon Carreras,Pong
51,Uganda,1,3,303,Salon 5,Pong
107,Mexico,1,4,472,Salon 5,Pong
135,China,1,3,267,Salon 2,Pong
146,Slovenia,1,5,177,Salon 3,Pong
161,Czech Republic,1,2,221,Salon Carreras,Pong
211,Hungary,1,2,355,Salon 2,Pong
233,Azerbaijan,1,5,209,Salon 3,Pong
244,China,1,4,175,Salon 6,Pong
255,Japan,1,3,382,Salon Carreras,Pong
296,Sweden,1,2,120,Salon Carreras,Pong
302,Bangladesh,1,3,376,Salon 2021,Pong
340,Japan,1,2,227,Salon 4,Pong
347,Brazil,1,3,378,Salon Carreras,Pong
356,Germany,1,5,499,Salon VR,Pong
360,China,1,4,238,Salon VR,Pong
412,Ecuador,1,3,238,Salon 4,Pong
436,Bangladesh,1,3,395,Salon VR,Pong
496,Mexico,1,4,134,Salon 4,Pong
32,Afghanistan,1,3,116,Salon 3,Pacman
34,Russia,1,5,301,Salon 6,Pacman
62,China,1,5,454,Salon 1,Pacman
79,China,1,4,360,Salon 6,Pacman
113,China,1,3,109,Salon 2021,Pacman
120,Mexico,1,5,335,Salon VR,Pacman
154,Indonesia,1,2,332,Salon 2021,Pacman
177,French Guiana,1,4,184,Salon 1,Pacman
196,Iran,1,5,194,Salon 3,Pacman
200,China,1,2,380,Salon 1,Pacman
202,Afghanistan,1,2,467,Salon Carreras,Pacman
204,Brazil,1,2,113,Salon 6,Pacman
232,Dominica,1,2,386,Salon Retro,Pacman
256,Mauritius,1,3,123,Salon 1,Pacman
319,France,1,3,295,Salon 2,Pacman
339,France,1,2,262,Salon 2021,Pacman
361,China,1,5,351,Salon 4,Pacman
414,Chile,1,2,169,Salon Carreras,Pacman
429,China,1,4,190,Salon 3,Pacman
444,Indonesia,1,2,134,Salon 5,Pacman
447,China,1,5,331,Salon 6,Pacman
448,Russia,1,3,221,Salon 5,Pacman
456,Brazil,1,4,119,Salon Carreras,Pacman
457,Lithuania,1,3,211,Salon 4,Pacman
470,Nigeria,1,2,400,Salon 2,Pacman
477,Albania,1,4,100,Salon 3,Pacman
9,Russia,1,5,498,Salon 2021,Out Run
15,Sweden,1,3,434,Salon 3,Out Run
27,Cuba,1,3,196,Salon VR,Out Run
60,Uruguay,1,2,380,Salon 6,Out Run
71,Micronesia,1,5,415,Salon VR,Out Run
75,Argentina,1,3,178,Salon 1,Out Run
76,China,1,4,141,Salon 2021,Out Run
119,China,1,5,474,Salon 2021,Out Run
132,Argentina,1,2,436,Salon 2021,Out Run
137,France,1,4,289,Salon 6,Out Run
138,Indonesia,1,4,151,Salon 3,Out Run
152,Argentina,1,3,153,Salon VR,Out Run
157,Estonia,1,2,301,Salon 2,Out Run
169,Philippines,1,5,188,Salon 4,Out Run
191,Zimbabwe,1,5,459,Salon 3,Out Run
207,China,1,4,455,Salon 5,Out Run
259,China,1,2,161,Salon VR,Out Run
283,Greece,1,2,129,Salon 1,Out Run
288,Palestinian Territory,1,4,412,Salon Retro,Out Run
311,Finland,1,5,135,Salon 5,Out Run
333,China,1,4,311,Salon 2021,Out Run
377,China,1,2,211,Salon Retro,Out Run
395,Indonesia,1,3,198,Salon 6,Out Run
401,Germany,1,2,487,Salon 3,Out Run
441,Nauru,1,2,449,Salon 3,Out Run
4,United States,1,3,315,Salon 6,Mortal Kombat
6,Indonesia,1,2,481,Salon Retro,Mortal Kombat
53,Indonesia,1,4,442,Salon 3,Mortal Kombat
116,Poland,1,3,173,Salon 6,Mortal Kombat
140,Armenia,1,4,396,Salon 1,Mortal Kombat
143,China,1,5,333,Salon 2021,Mortal Kombat
147,United States,1,2,421,Salon 2,Mortal Kombat
181,United States,1,5,356,Salon 1,Mortal Kombat
203,France,1,4,205,Salon 2021,Mortal Kombat
218,Russia,1,5,252,Salon 1,Mortal Kombat
223,Ecuador,1,3,276,Salon 2,Mortal Kombat
227,Russia,1,5,341,Salon 1,Mortal Kombat
245,Ivory Coast,1,3,263,Salon Retro,Mortal Kombat
269,Venezuela,1,2,349,Salon 6,Mortal Kombat
323,China,1,5,475,Salon 2021,Mortal Kombat
381,Indonesia,1,2,451,Salon 3,Mortal Kombat
406,Philippines,1,2,406,Salon 3,Mortal Kombat
454,Russia,1,5,390,Salon 4,Mortal Kombat
463,China,1,2,479,Salon 2021,Mortal Kombat
479,Indonesia,1,3,148,Salon 4,Mortal Kombat
490,Philippines,1,5,192,Salon Retro,Mortal Kombat
14,Indonesia,1,2,347,Salon Carreras,Metal Slug
43,Philippines,1,5,496,Salon 5,Metal Slug
72,Ecuador,1,3,169,Salon Carreras,Metal Slug
74,Sri Lanka,1,2,307,Salon Carreras,Metal Slug
102,Indonesia,1,3,155,Salon 2,Metal Slug
110,Indonesia,1,4,239,Salon 1,Metal Slug
128,China,1,5,458,Salon 6,Metal Slug
139,Czech Republic,1,3,136,Salon VR,Metal Slug
171,Paraguay,1,5,311,Salon 2,Metal Slug
175,Poland,1,5,135,Salon VR,Metal Slug
199,Panama,1,5,243,Salon 2,Metal Slug
225,China,1,4,165,Salon 1,Metal Slug
226,Philippines,1,4,408,Salon Retro,Metal Slug
228,Indonesia,1,3,227,Salon Retro,Metal Slug
231,China,1,3,485,Salon 3,Metal Slug
261,Ireland,1,4,475,Salon 1,Metal Slug
354,China,1,3,362,Salon 2,Metal Slug
368,China,1,5,154,Salon 4,Metal Slug
443,Sweden,1,2,354,Salon Retro,Metal Slug
39,China,1,3,392,Salon 2021,Galaga
48,Indonesia,1,3,372,Salon 1,Galaga
55,Iran,1,2,469,Salon VR,Galaga
70,Albania,1,4,376,Salon VR,Galaga
78,Colombia,1,3,227,Salon 1,Galaga
160,Malaysia,1,5,442,Salon 2,Galaga
217,Portugal,1,2,500,Salon Carreras,Galaga
247,Iran,1,5,477,Salon Carreras,Galaga
279,Thailand,1,3,264,Salon Retro,Galaga
306,Nicaragua,1,5,122,Salon 2,Galaga
346,Malaysia,1,4,401,Salon VR,Galaga
363,Philippines,1,2,331,Salon 2,Galaga
379,Canada,1,4,100,Salon 2,Galaga
402,Philippines,1,4,122,Salon 6,Galaga
416,South Africa,1,2,288,Salon 1,Galaga
419,Portugal,1,5,131,Salon 4,Galaga
423,Indonesia,1,2,218,Salon 6,Galaga
445,Canada,1,4,403,Salon 4,Galaga
449,China,1,5,476,Salon 4,Galaga
451,Finland,1,4,335,Salon 2021,Galaga
460,Poland,1,5,288,Salon 2,Galaga
498,Mozambique,1,4,359,Salon 2021,Galaga
123,Nigeria,1,5,390,Salon Retro,Frogger
142,France,1,5,494,Salon 2021,Frogger
156,Nepal,1,5,217,Salon 2021,Frogger
221,China,1,2,439,Salon 3,Frogger
239,Brazil,1,2,211,Salon 6,Frogger
250,China,1,3,335,Salon 3,Frogger
257,Russia,1,2,287,Salon 2021,Frogger
280,Russia,1,3,454,Salon VR,Frogger
285,Thailand,1,3,260,Salon 4,Frogger
289,Sweden,1,2,227,Salon 3,Frogger
292,China,1,4,154,Salon VR,Frogger
303,Mexico,1,5,197,Salon 3,Frogger
310,China,1,3,145,Salon Retro,Frogger
355,Portugal,1,4,174,Salon 2,Frogger
389,Indonesia,1,4,147,Salon 2021,Frogger
390,Liberia,1,3,223,Salon 6,Frogger
432,Ukraine,1,5,473,Salon 3,Frogger
29,Mauritius,1,4,393,Salon 1,Double Dragon
214,Indonesia,1,5,494,Salon VR,Double Dragon
249,Greece,1,2,345,Salon VR,Double Dragon
258,Indonesia,1,2,232,Salon 2021,Double Dragon
276,Indonesia,1,2,223,Salon 2021,Double Dragon
315,Czech Republic,1,3,110,Salon Carreras,Double Dragon
327,Greece,1,2,172,Salon 3,Double Dragon
328,Brazil,1,3,135,Salon 1,Double Dragon
329,Albania,1,3,386,Salon 3,Double Dragon
367,China,1,2,381,Salon 3,Double Dragon
376,Martinique,1,5,387,Salon 4,Double Dragon
382,Peru,1,2,491,Salon 2,Double Dragon
383,Indonesia,1,5,456,Salon VR,Double Dragon
384,Japan,1,2,134,Salon VR,Double Dragon
396,China,1,4,439,Salon Carreras,Double Dragon
397,Philippines,1,2,144,Salon 4,Double Dragon
404,Indonesia,1,4,351,Salon 3,Double Dragon
405,Indonesia,1,5,394,Salon Retro,Double Dragon
410,Russia,1,5,161,Salon 3,Double Dragon
425,Poland,1,4,288,Salon 4,Double Dragon
427,China,1,5,166,Salon 2021,Double Dragon
487,China,1,4,236,Salon 2021,Double Dragon
500,Morocco,1,4,327,Salon VR,Double Dragon
38,Philippines,1,2,187,Salon 5,Castelvania
65,Indonesia,1,4,260,Salon 1,Castelvania
80,Czech Republic,1,4,385,Salon Carreras,Castelvania
85,China,1,2,148,Salon 2021,Castelvania
103,China,1,3,232,Salon VR,Castelvania
114,Chile,1,5,282,Salon 6,Castelvania
126,Bolivia,1,5,391,Salon 2021,Castelvania
155,China,1,3,397,Salon 6,Castelvania
183,Japan,1,2,284,Salon 4,Castelvania
198,Panama,1,4,283,Salon Retro,Castelvania
248,United States,1,4,304,Salon 1,Castelvania
267,Mozambique,1,3,414,Salon VR,Castelvania
299,China,1,3,113,Salon 4,Castelvania
312,Indonesia,1,2,218,Salon 6,Castelvania
322,Greece,1,5,143,Salon VR,Castelvania
343,Albania,1,2,375,Salon 6,Castelvania
349,Russia,1,3,371,Salon VR,Castelvania
350,China,1,2,247,Salon 5,Castelvania
403,Czech Republic,1,5,168,Salon Carreras,Castelvania
418,Russia,1,3,150,Salon Retro,Castelvania
435,China,1,3,340,Salon 4,Castelvania
485,France,1,4,142,Salon Carreras,Castelvania
493,Chad,1,5,186,Salon VR,Castelvania
3,Philippines,1,5,414,Salon Carreras,Bubble Bobble
7,Indonesia,1,2,428,Salon 1,Bubble Bobble
22,Philippines,1,3,456,Salon 6,Bubble Bobble
26,Cyprus,1,3,482,Salon Retro,Bubble Bobble
50,Portugal,1,4,294,Salon 3,Bubble Bobble
94,China,1,5,442,Salon Retro,Bubble Bobble
99,Philippines,1,4,274,Salon Retro,Bubble Bobble
108,Russia,1,3,477,Salon 6,Bubble Bobble
124,China,1,2,184,Salon 2021,Bubble Bobble
166,Sweden,1,2,197,Salon 1,Bubble Bobble
174,South Africa,1,5,378,Salon VR,Bubble Bobble
178,Belarus,1,2,425,Salon Carreras,Bubble Bobble
179,Benin,1,3,238,Salon 1,Bubble Bobble
184,Sweden,1,3,255,Salon 6,Bubble Bobble
206,United States,1,5,317,Salon 6,Bubble Bobble
242,Indonesia,1,4,462,Salon 2,Bubble Bobble
254,China,1,5,211,Salon 1,Bubble Bobble
266,China,1,2,138,Salon Carreras,Bubble Bobble
270,Sweden,1,3,356,Salon 6,Bubble Bobble
274,Russia,1,3,356,Salon 1,Bubble Bobble
281,Greece,1,5,238,Salon 4,Bubble Bobble
305,France,1,5,267,Salon 6,Bubble Bobble
320,Portugal,1,3,332,Salon VR,Bubble Bobble
365,Ethiopia,1,4,488,Salon 2021,Bubble Bobble
372,Russia,1,4,221,Salon Retro,Bubble Bobble
380,Indonesia,1,2,138,Salon 5,Bubble Bobble
415,China,1,3,412,Salon VR,Bubble Bobble
446,Germany,1,4,136,Salon VR,Bubble Bobble
458,China,1,4,348,Salon VR,Bubble Bobble
472,Iran,1,5,193,Salon 2,Bubble Bobble
28,Sweden,1,2,147,Salon Retro,Asteroids
30,France,1,4,480,Salon 1,Asteroids
36,Indonesia,1,5,469,Salon 2021,Asteroids
73,China,1,4,167,Salon 2,Asteroids
77,Poland,1,3,122,Salon 3,Asteroids
130,Argentina,1,2,182,Salon 2021,Asteroids
136,Armenia,1,3,374,Salon 4,Asteroids
163,Russia,1,3,438,Salon 3,Asteroids
165,Venezuela,1,5,198,Salon 5,Asteroids
168,Brazil,1,2,163,Salon 1,Asteroids
286,Poland,1,4,239,Salon 5,Asteroids
331,China,1,5,330,Salon Carreras,Asteroids
362,Democratic Republic of the Congo,1,2,381,Salon 6,Asteroids
420,Sweden,1,2,183,Salon 3,Asteroids
442,Dominican Republic,1,4,274,Salon 4,Asteroids
482,Russia,1,5,354,Salon 4,Asteroids
25,China,1,3,284,Salon VR,Arkanoid
58,China,1,3,338,Salon Carreras,Arkanoid
93,Philippines,1,3,120,Salon Retro,Arkanoid
95,United States,1,2,218,Salon 6,Arkanoid
125,Greece,1,3,202,Salon 4,Arkanoid
131,South Africa,1,2,290,Salon 5,Arkanoid
187,Comoros,1,2,275,Salon 5,Arkanoid
188,Sweden,1,5,449,Salon Carreras,Arkanoid
251,Mongolia,1,3,174,Salon Carreras,Arkanoid
262,Nigeria,1,4,282,Salon 2021,Arkanoid
297,Senegal,1,2,367,Salon 6,Arkanoid
335,Ukraine,1,3,216,Salon 4,Arkanoid
341,Russia,1,4,229,Salon VR,Arkanoid
353,Japan,1,5,184,Salon 4,Arkanoid
369,United Kingdom,1,4,202,Salon Carreras,Arkanoid
391,China,1,4,423,Salon 4,Arkanoid
393,Philippines,1,3,336,Salon Retro,Arkanoid
439,China,1,3,201,Salon VR,Arkanoid
474,Indonesia,1,4,142,Salon 5,Arkanoid
488,Argentina,1,4,396,Salon VR,Arkanoid
492,Portugal,1,5,199,Salon Carreras,Arkanoid
